featureIDs,X4132_1A_80MeOH_NdCL3.mzML,X4132_2A_80MeOH_NdCL3.mzML,X4132_3A_80MeOH_NdCL3.mzML,X4132_4A_80MeOH_NdCL3.mzML,X4133_1A_80MeOH_NdCl3.mzML,X4133_2A_80MeOH_NdCl3.mzML,X4133_3A_80MeOH_NdCl3_.mzML,X4133_4A_80MeOH_NdCl3_.mzML,logFC,pvalue,logpval,Sample_Type,,,
157,2.91623741675233e-07,1.96419849547678e-06,2.40808917350663e-07,3.18334142793712e-07,2.93191015147408e-07,6.43738319796697e-06,2.35805769799878e-07,7.94396388701042e-06,-2.405124488,0.232556734,0.63347108,Not Significant,,,
192,2.91623741675233e-07,3.5813700837226e-07,2.40808917350663e-07,3.18334142793712e-07,2.93191015147408e-07,1.23328911712978e-05,2.35805769799878e-07,2.85339529614753e-07,-3.442987231,0.395253376,0.403124412,Not Significant,,,
201,0.000115853,0.000361021,9.22685348843832e-05,0.000245338,0.000370823,0.000331155,0.00014623,0.000302845,-0.499002138,0.332160657,0.478651809,Not Significant,,,
156,2.91623741675233e-07,3.5813700837226e-07,2.40808917350663e-07,3.18334142793712e-07,2.93191015147408e-07,1.49785925765837e-06,2.35805769799878e-07,3.80684982542024e-06,-2.270713191,0.260239892,0.58462613,Not Significant,,,
203,9.5476116534218e-06,9.18389187191129e-05,2.40808917350663e-07,6.73189812372528e-06,4.20944550695644e-05,0.000355349,7.79180699864329e-06,3.22721798815124e-05,-2.013485412,0.397026711,0.401180273,Not Significant,,,
202,2.91623741675233e-07,1.61393374695039e-05,1.49001256936346e-05,3.86756897407816e-05,4.89377854045039e-06,1.82916119497598e-05,2.99675241507415e-05,2.72872494910652e-05,-0.200421444,0.798590443,0.097675892,Not Significant,,,
169,5.59701296408039e-06,3.49411094409851e-05,1.05445292549767e-05,3.18334142793712e-07,1.49817381067308e-05,0.000108821,6.31083465313582e-06,0.000183715,-2.610108776,0.216943159,0.66365404,Not Significant,,,
149,2.91623741675233e-07,2.53277351133824e-05,2.40808917350663e-07,3.18334142793712e-07,1.22123445065082e-05,0.000110249,2.35805769799878e-07,2.28165785253121e-05,-2.474700828,0.323173049,0.490564864,Not Significant,,,
196,8.19038375982238e-06,2.69299662623513e-05,3.06754692850213e-06,6.19451364980735e-06,1.59591160742348e-05,4.57749623016336e-05,5.29062585100506e-06,0.000232135,-2.752855929,0.317255573,0.49859074,Not Significant,,,
159,1.13311607136321e-05,8.21201814261129e-05,2.40808917350663e-07,2.56940596989159e-06,5.02730441556114e-06,0.00019987,2.80333438717313e-06,3.77986521604501e-05,-1.350687194,0.502919036,0.298501925,Not Significant,,,
