"featureID","mz","retention_time","4132_1A_80MeOH_NdCL3.mzML","4132_2A_80MeOH_NdCL3.mzML","4132_3A_80MeOH_NdCL3.mzML","4132_4A_80MeOH_NdCL3.mzML","4132_S1_1D_80MeOH.mzML","4132_S2_2D_80MeOH.mzML","4132_S3_3D_80MeOH.mzML","4132_WT_S10_1D_80MeOH.mzML","4132_WT_S11_2D_80MeOH.mzML","4132_WT_S12_3D_80MeOH.mzML","4133_1A_80MeOH_NdCl3.mzML","4133_2A_80MeOH_NdCl3.mzML","4133_3A_80MeOH_NdCl3_.mzML","4133_4A_80MeOH_NdCl3_.mzML","4133_S4_1D_80MeOH.mzML","4133_S5_2D_80MeOH.mzML","4133_S6_3D_80MeOH.mzML","4133_WT_S13_1D_80MeOH.mzML","4133_WT_S14_2D_80MeOH.mzML","4133_WT_S15_3D_80MeOH.mzML","4134_1A_80MeOH_Nd2O3.mzML","4134_1A_80MeOH_NdCl3.mzML","4134_2A_80MeOH_Nd2O3.mzML","4134_2A_80MeOH_NdCl3.mzML","4134_3A_80MeOH_Nd2O3.mzML","4134_3A_80MeOH_NdCl3.mzML","4134_4A_80MeOH_Nd2O3.mzML","4134_4A_80MeOH_NdCl3.mzML","4135_1A_80MeOH_Nd2O3.mzML","4135_1B_80MeOH.mzML","4135_2A_80MeOH_Nd2O3.mzML","4135_2B_80MeOH.mzML","4135_3A_80MeOH_Nd2O3.mzML","4135_3B_80MeOH.mzML","4135_4A_80MeOH_Nd2O3.mzML","4135_4B_80MeOH.mzML","4136_1A_80MeOH_Nd2O3_dil.mzML","4136_1C_80MeOH.mzML","4136_2A_80MeOH_Nd2O3_dil.mzML","4136_2C_80MeOH.mzML","4136_3A_80MeOH_Nd2O3_dil.mzML","4136_3C_80MeOH.mzML","4136_4A_80MeOH_Nd2O3_dil.mzML","4136_4C_80MeOH.mzML","4137_1E_80.mzML","4137_2E_80.mzML","4137_3E_80.mzML","4137_4E_80.mzML","4138_1B_80MeOH.mzML","4138_1E_80.mzML","4138_2B_80MeOH.mzML","4138_2E_80.mzML","4138_3B_80MeOH.mzML","4138_3E_80.mzML","4138_4B_80MeOH.mzML","4138_4E_80.mzML","4138_S16_1D_80MeOH_dil.mzML","4138_S18_3D_80MeOH_dil.mzML","4138_S7_1D_80MeOH_dil.mzML","4138_S8_2D_80MeOH_dil.mzML","5051_pellet_80_1.mzML","5051_pellet_80_2.mzML","5051_pellet_80_3.mzML","5051_pellet_80_4.mzML","5051_super_80_1.mzML","5051_super_80_2.mzML","5051_super_80_3.mzML","5051_super_80_4.mzML","mxaF_1B_80MeOH.mzML","mxaF_2B_80MeOH.mzML","mxaF_3B_80MeOH.mzML","mxaF_4B_80MeOH.mzML"
95,319.15,0.395,0,0,0,0,53720.32,44043.27,63655.953,0,0,0,0,1468.0437,0,2015.8683,28792.635,23937.766,25095.824,695.8572,9623.229,11062.7705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,334.161,0.398,0,0,0,0,67916.41,48082.44,87697.3,0,0,0,0,3411.9512,0,5553.0566,53065.543,38807.664,58270.863,1662.3401,10291.436,14352.282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,468.219,0.398,0,0,0,0,9411.596,1865.4102,13227.211,0,0,0,0,3281.9536,0,3442.4146,15634.683,5140.828,28548.137,0,1857.9905,17728.143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,485.245,0.4,69837.17,364344,41140.35,54687.48,2972117.5,844871.44,3524370.5,146159.69,25723.002,92470.79,152813.06,1041778.5,130133.734,2305225.2,5544400.5,2694568.5,10861819,592326.44,1026605.56,6317294.5,0,0,0,0,0,741.1203,0,0,0,0,0,0,0,0,6468.8833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,233.186,0.401,0,29592.59,0,0,0,0,0,18182.871,2953.983,2217.9417,9813.662,194624.78,884.6507,31790.975,0,0,0,0,0,0,1465.3524,0,0,0,690.04565,870.3642,0,0,0,0,2632.577,0,664.3884,0,2078.642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,251.125,0.402,0,0,0,1034.367,0,5932.107,955.47284,0,7072.405,9122.788,0,959.2928,2496.2488,3335.2817,0,5652.662,2867.2307,1091.2646,26493.832,15407.903,0,1814.9141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7964.9487,19628.367,0,0,0,0,0,0,0,0,1033.3687,0,0,0,0,0,0,0,0,0,0,0,0,12715.614,8459.178,6028.968
224,387.308,0.402,0,10811.257,0,0,0,0,0,6622.3022,0,0,7812.61,60580.15,0,8706.634,0,0,0,0,0,0,9036.062,0,18116.477,1549.088,12879.415,0,23353.025,1142.1318,6351.9004,0,4967.645,0,4301.032,0,5832.2817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,238.862,0.403,0,15837.53,0,0,0,0,0,8867.49,0,2479.2476,8002.076,99055.87,1518.8894,52507.082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,812.02734,0,982.69354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,352.172,0.404,8345.521,19411.068,13700.291,1466.4575,178949.78,133108.45,210298.05,12026.006,1513.3761,12580.687,14114.339,88306.34,7900.215,125338.99,77674.7,67174.055,212139.47,14556.357,29816.84,140224.48,0,0,1285.2784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,271.249,0.404,1856.8911,24428.506,0,801.60767,0,0,0,16007.32,1497.8068,6704.5894,14534.275,159525.81,3677.4194,40315.04,0,0,0,0,0,0,11748,2910.7273,13941.948,5667.3496,14928.505,6404.6963,9361.515,7062.5146,8223.357,0,11475.322,0,9385.983,0,10308.544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1260.9016,1850.2986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,254.223,0.405,0,2055.1824,0,0,0,0,0,0,0,0,1446.8414,22074.271,0,5830.439,0,0,0,0,0,0,5545.035,0,0,0,1006.09955,0,2681.1958,1064.6213,1036.9211,0,430.72668,0,989.2842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,502.224,0.406,0,0,0,0,70066.29,36902.297,69707.21,0,0,0,0,1256.2383,0,793.03064,38537.754,40302.41,59314.727,0,4259.1743,21965.535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,278.191,0.406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17139.963,0,0,0,0,0,0,0,0,0,0,0,0,12676.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,185.644,0.407,0,8110.832,0,0,0,0,0,1738.761,0,0,2327.2397,41113.5,0,3844.5781,0,0,0,0,0,0,3357.8042,0,0,0,1310.7562,0,0,0,0,0,1070.773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,516.24,0.408,0,1250.4635,0,0,188724.47,94686.62,185079.39,0,0,0,0,5931.3154,0,6347.609,87395.71,69451.555,108843.68,2697.5957,15880.315,35222.094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,382.317,0.408,0,0,0,0,0,0,0,0,0,0,0,11363.3545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,160.181,0.409,90577.2,229836.16,87360.66,175717.86,0,6851.145,0,94501.96,28877.387,59870.65,288370.5,305121.25,141389.56,241987.72,1359.019,3530.2637,0,701.75116,1273.893,0,899844.44,439740.47,547654.2,506057.9,689333.5,646777.25,1429548.5,743408.9,1268973.5,142653.34,673451.5,120636.74,727458.1,53995.055,1050580.9,134015.81,62539.01,25740.018,11049.084,168158.52,2656.817,139025.98,13145.221,58295.477,0,2188.322,15825.708,0,15384.186,0,25685.459,5740.6704,52521.84,106694.23,137852.6,12709.377,0,0,0,0,1403.4307,965.83215,1038.4988,0,4516.8267,0,1154.0062,2533.2183,0,0,5473.5576,1222.2393
156,305.134,0.409,0,0,0,0,180375.02,116808.984,219968.39,0,0,0,0,1380.1067,0,3041.856,144500.39,94631.87,136250.6,2574.65,15541.818,26579.803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,252.865,0.41,7464.603,58467.215,0,4821.5776,0,0,0,29168.127,3969.7373,0,32734.754,327413.88,7533.8784,25787.023,0,0,0,0,0,1215.6177,21838.219,5066.104,0,12019.367,25095.84,7064.3647,36377.414,3584.269,3889.0667,0,22931.398,2232.01,9594.156,0,17128.969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7183.624,2717.268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,209.117,0.41,0,10274.752,14107.57,27700.633,0,12391.551,13690.768,6251.515,17225.629,21377.08,3805.647,16853.637,28975.523,21803.824,7310.814,15594.14,8016.997,13034.78,29918.258,11869.545,0,14624.952,0,12864.971,922.8602,7975.2095,0,1628.8021,0,0,0,0,0,0,0,0,0,3169.928,0,1432.1714,0,0,0,0,7293.968,8557.497,11972.8955,26876.627,0,10945.001,0,8810.353,0,5760.9844,0,2489.9934,20099.838,14022.041,22842.57,15596.018,11239.615,4536.755,0,0,0,13335.99,10848.91,17960.422,0,12808.001,16914.525,18789.201
